timeStamp;ParkFunc;AngleParkFunc;ParkFunc_RAW;SteeringAngleParkFunc_RAW;i;timeDiff1;timeDiff2
-0.7442999544999999717; ; ; ; ;0.0; ; 
3.6506200455000001881; ; ; ; ;0.0; ; 
3.83653306960000017867;65533.0;4093.0;65533;4093; ; ; 
4.05761194230000032945;65533.0;4093.0;65533;4093; ; ; 
4.27307295800000019881;65533.0;4093.0;65533;4093; ; ; 
4.5006959438000002649;65533.0;4093.0;65533;4093; ; ; 
4.72039413450000022721;65533.0;4093.0;65533;4093; ; ; 
4.7629900454999996029; ; ; ; ;1.0;0.0;0.0
4.96299004549999978053;0.10000000000000009;1.0;30000;2246; ; ; 
5.17800307270000015336;0.10000000000000009;1.0;30000;2246; ; ; 
5.39350295070000029796;0.10000000000000009;1.0;30000;2246; ; ; 
5.62300395970000010948;0.10000000000000009;1.0;30000;2246; ; ; 
5.84091711040000038935;0.20000000000000007;2.0;35000;2446; ;0.0;0.0
5.87462004550000038705; ; ; ; ;2.0; ; 
6.05638790129999993184;0.20000000000000007;2.0;35000;2446; ; ; 
6.11986899379999993442;0.20000000000000007;2.0;35000;2446; ; ; 
6.22867298129999991119;0.20000000000000007;2.0;35000;2446; ; ; 
6.27407407759999991015;0.20000000000000007;2.0;35000;2446; ; ; 
6.44725298879999986212;0.20000000000000007;2.0;35000;2446; ; ; 
6.49228191380000030364;0.20000000000000007;2.0;35000;2446; ; ; 
6.66178894040000013632;0.20000000000000007;2.0;35000;2446; ; ; 
6.70951604840000026542;0.20000000000000007;2.0;35000;2446; ; ; 
6.88133502009999986626;0.20000000000000007;2.0;35000;2446; ; ; 
6.93001890179999957553;0.20000000000000007;2.0;35000;2446; ; ; 
6.93544292450000021688;0.30000000000000004;3.0;40000;2646; ;0.0;0.0
6.97242004549999982999; ; ; ; ;3.0; ; 
7.09468603130000019519;0.30000000000000004;3.0;40000;2646; ; ; 
7.15747213359999978621;0.30000000000000004;3.0;40000;2646; ; ; 
7.31131100650000043117;0.30000000000000004;3.0;40000;2646; ; ; 
7.38669800759999972684;0.30000000000000004;3.0;40000;2646; ; ; 
7.5288169384000003248;0.30000000000000004;3.0;40000;2646; ; ; 
7.60687208179999974078;0.30000000000000004;3.0;40000;2646; ; ; 
7.74683308599999964628;0.30000000000000004;3.0;40000;2646; ; ; 
7.82443213460000031034;0.30000000000000004;3.0;40000;2646; ; ; 
7.96305203440000042292;0.30000000000000004;3.0;40000;2646; ; ; 
8.04438090320000043221;0.30000000000000004;3.0;40000;2646; ; ; 
8.05234098430000067026;0.4;4.0;45000;2846; ;0.0;0.0
8.08937004550000082759; ; ; ; ;4.0; ; 
8.18015599249999958431;0.4;4.0;45000;2846; ; ; 
8.27178502079999944385;0.4;4.0;45000;2846; ; ; 
8.39564895630000052051;0.4;4.0;45000;2846; ; ; 
8.48772692680000062637;0.4;4.0;45000;2846; ; ; 
8.61092400549999936743;0.4;4.0;45000;2846; ; ; 
8.70419597629999941546;0.4;4.0;45000;2846; ; ; 
8.82646012310000038781;0.4;4.0;45000;2846; ; ; 
8.93285703659999974491;0.4;4.0;45000;2846; ; ; 
9.05508589739999969481;0.4;4.0;45000;2846; ; ; 
9.14908790590000009502;0.4;4.0;45000;2846; ; ; 
9.16717410090000051071;0.5;5.0;50000;3046; ;0.0;0.0
9.20420004550000037113; ; ; ; ;5.0; ; 
9.27165412899999985541;0.5;5.0;50000;3046; ; ; 
9.39434504509999968036;0.5;5.0;50000;3046; ; ; 
9.49212694170000048643;0.5;5.0;50000;3046; ; ; 
9.61016297339999958638;0.5;5.0;50000;3046; ; ; 
9.71888303759999949705;0.5;5.0;50000;3046; ; ; 
9.82662510870000005525;0.5;5.0;50000;3046; ; ; 
9.93411397929999928635;0.5;5.0;50000;3046; ; ; 
10.041916132000000772;0.5;5.0;50000;3046; ; ; 
10.14946794509999961065;0.5;5.0;50000;3046; ; ; 
10.26224899290000003305;0.5;5.0;50000;3046; ; ; 
